area,ID,Longitude,Latitude,Slp_class,Slope_mean,Elv_class,Elevation_,ECO_NAME,G200_REGIO,_antropiza,HISTO_0,HISTO_1,HISTO_2,HISTO_3,total_pix,Natural,Agro,Urb,Other,Antro,Check
99926101.3,9282,-37.622772,-11.267893,Class2,11.40853507,1-Low Elevation,101.2370905,Pernambuco interior forests,Atlantic Forests,0.919256597,14467,98787,984,0,114238,0.127,0.865,0.009,0,0.873,1.001
99926101.3,4752,-39.316189,-14.764323,Class2,12.54346836,1-Low Elevation,101.3523948,Bahia coastal forests,Atlantic Forests,0.357326044,72398,32259,9789,0,114446,0.633,0.282,0.086,0,0.367,1.001
99926101.3,12236,-49.070724,-26.929429,Class3,25.25504428,1-Low Elevation,101.4173068,Serra do Mar coastal forests,Atlantic Forests,0.463010925,62464,17032,34740,0,114236,0.547,0.149,0.304,0,0.453,1
99926101.3,6609,-39.876042,-17.696344,Class2,10.74410531,1-Low Elevation,101.4383451,Bahia coastal forests,Atlantic Forests,0.880466694,14436,99799,0,0,114235,0.126,0.874,0,0,0.874,1
99926101.3,2704,-50.632181,-29.783261,Class2,14.47311045,1-Low Elevation,101.4942914,Alto Paraná Atlantic forests,Atlantic Forests,0.127690088,79016,35386,43,0,114445,0.69,0.309,0,0,0.31,0.999
99926101.3,7111,-35.293187,-7.352247,Class1,6.529594611,1-Low Elevation,101.7092842,Pernambuco interior forests,Atlantic Forests,0.890564892,7405,104764,2262,12,114443,0.065,0.915,0.02,0,0.935,1
99926101.3,7278,-40.213572,-18.529942,Class2,10.55718419,1-Low Elevation,101.9989463,Bahia coastal forests,Atlantic Forests,0.941908924,8611,105540,85,0,114236,0.075,0.924,0.001,0,0.925,1
99926101.3,1741,-52.069152,-29.478705,Class2,12.50371243,1-Low Elevation,102.0137188,Alto Paraná Atlantic forests,Atlantic Forests,0.737649322,23454,84915,6076,0,114445,0.205,0.742,0.053,0,0.795,1
99926101.3,1638,-39.324724,-15.895265,Class2,13.23236868,1-Low Elevation,102.0968176,Bahia coastal forests,Atlantic Forests,0.589365256,45899,68337,0,0,114236,0.402,0.598,0,0,0.598,1
99926101.3,10964,-42.902453,-22.854926,Class3,20.26672312,1-Low Elevation,102.4616215,Serra do Mar coastal forests,Atlantic Forests,0.779889654,24650,80590,8995,0,114235,0.216,0.705,0.079,0,0.784,1
99926101.3,12925,-39.611894,-17.009536,Class2,18.64188304,1-Low Elevation,102.6039218,Bahia coastal forests,Atlantic Forests,0.714683427,35219,79017,0,0,114236,0.308,0.692,0,0,0.692,1
99926101.3,7239,-40.373086,-19.94695,Class3,28.15392794,1-Low Elevation,102.819985,Bahia coastal forests,Atlantic Forests,0.749350408,29021,83730,1485,0,114236,0.254,0.733,0.013,0,0.746,1
99926101.3,6638,-39.583551,-17.193591,Class2,16.06384816,1-Low Elevation,103.2532843,Bahia coastal forests,Atlantic Forests,0.81834364,24351,90085,10,0,114446,0.213,0.787,0,0,0.787,1
99926101.3,8550,-41.385814,-21.405151,Class3,20.79649488,1-Low Elevation,103.3734894,Bahia interior forests,Atlantic Forests,0.9422037,6137,106933,1165,0,114235,0.054,0.936,0.01,0,0.946,1
99926101.3,454,-39.652927,-17.342374,Class1,6.311938208,1-Low Elevation,103.7584295,Bahia coastal forests,Atlantic Forests,0.919248842,11060,102623,553,0,114236,0.097,0.898,0.005,0,0.903,1
99926101.3,3653,-35.237038,-8.701862,Class2,17.33299389,1-Low Elevation,104.4187501,Pernambuco coastal forests,Atlantic Forests,0.832627638,19172,95273,0,0,114445,0.168,0.832,0,0,0.832,1
99926101.3,3757,-50.931244,-29.843903,Class2,14.77041497,1-Low Elevation,104.9223179,Alto Paraná Atlantic forests,Atlantic Forests,0.121860685,83079,30566,590,0,114235,0.727,0.268,0.005,0,0.273,1
